"rental_id","customer_id","customer_name","active","store_id","phone","address","district","city","country"
67,119,"Sherry Marshall",1,1,"787654415858","1987 Coacalco de Berriozbal Loop","al-Qalyubiya","Shubra al-Khayma","Egypt"
68,120,"Sylvia Ortiz",1,2,"765345144779","241 Mosul Lane","Risaralda","Dos Quebradas","Colombia"
69,305,"Richard Mccrary",1,1,"262088367001","913 Coacalco de Berriozbal Loop","Texas","Arlington","United States"
70,73,"Beverly Brooks",1,2,"427454485876","1947 Poos de Caldas Boulevard","Chiayi","Chiayi","Taiwan"
71,100,"Robin Hayes",1,1,"942570536750","1913 Kamakura Place","Lipetsk","Jelets","Russian Federation"
72,48,"Ann Evans",1,1,"705800322606","909 Garland Manor","Tatarstan","Niznekamsk","Russian Federation"
73,391,"Clarence Gamez",1,1,"667736124769","767 Pyongyang Drive","Osaka","Izumisano","Japan"
74,265,"Jennie Terry",1,2,"475553436330","682 Halisahar Place","Severn Morava","Olomouc","Czech Republic"
75,510,"Ben Easter",0,2,"711928348157","886 Tonghae Place","Volgograd","Kamyin","Russian Federation"
76,1,"Mary Smith",1,1,"28303384290","1913 Hanoi Way","Nagasaki","Sasebo","Japan"
77,451,"Jim Rea",1,1,"524567129902","814 Simferopol Loop","Sinaloa","El Fuerte","Mexico"
78,135,"Juanita Mason",1,2,"90921003005","943 Johannesburg Avenue","Maharashtra","Pune","India"
79,245,"Courtney Day",1,1,"890289150158","300 Junan Street","Kyonggi","Uijongbu","South Korea"
80,314,"George Linton",1,1,"704948322302","1957 Yantai Lane","So Paulo","Sorocaba","Brazil"
81,286,"Velma Lucas",1,1,"558236142492","1155 Liaocheng Place","Oyo & Osun","Effon-Alaiye","Nigeria"
82,427,"Jesus Mccartney",1,2,"419009857119","259 Ipoh Drive","So Paulo","Guaruj","Brazil"
83,131,"Monica Hicks",1,2,"252265130067","1752 So Leopoldo Parkway","Taka-Karpatia","Mukateve","Ukraine"
84,492,"Lester Kraus",1,2,"158399646978","1013 Tabuk Boulevard","West Bengali","Kanchrapara","India"
85,414,"Vincent Ralston",1,1,"680851640676","397 Sunnyvale Avenue","Guanajuato","Allende","Mexico"
86,266,"Nora Herrera",1,2,"621625204422","1587 Loja Manor","Salzburg","Salzburg","Austria"
87,331,"Eric Robert",1,1,"105470691550","430 Kumbakonam Drive","Santa F","Santa F","Argentina"
88,53,"Heather Morris",1,1,"697760867968","17 Kabul Boulevard","Chiba","Nagareyama","Japan"
89,499,"Marc Outlaw",1,2,"465897838272","1 Valle de Santiago Avenue","Apulia","Brindisi","Italy"
90,25,"Deborah Walker",1,1,"196495945706","934 San Felipe de Puerto Plata Street","Sind","Shikarpur","Pakistan"
91,267,"Margie Wade",1,1,"192459639410","1762 Paarl Parkway","Hunan","Lengshuijiang","China"
92,302,"Michael Silverman",1,1,"108053751300","1908 Gaziantep Place","Liaoning","Tiefa","China"
93,288,"Bobbie Craig",1,1,"957128697225","86 Higashiosaka Lane","Guanajuato","Valle de Santiago","Mexico"
94,197,"Sue Peters",1,2,"264286442804","817 Bradford Loop","Jiangsu","Changzhou","China"
95,400,"Bryan Hardison",1,2,"775235029633","530 Lausanne Lane","Texas","Dallas","United States"
96,49,"Joyce Edwards",1,2,"876295323994","725 Isesaki Place","Mekka","Jedda","Saudi Arabia"
97,263,"Hilda Hopkins",1,1,"322888976727","1831 Nam Dinh Loop","National Capital Reg","Mandaluyong","Philippines"
98,269,"Cassandra Walters",1,1,"685010736240","920 Kumbakonam Loop","California","Salinas","United States"
99,44,"Marie Turner",1,1,"177727722820","1998 Halifax Drive","Lipetsk","Lipetsk","Russian Federation"
100,208,"Lucy Wheeler",1,1,"49677664184","624 Oshawa Boulevard","West Bengali","Balurghat","India"
101,468,"Tim Cary",1,1,"195337700615","1257 Guadalajara Street","Karnataka","Bijapur","India"
102,343,"Douglas Graf",1,1,"895616862749","785 Vaduz Street","Baja California","Mexicali","Mexico"
103,384,"Ernest Stepp",1,2,"550306965159","500 Lincoln Parkway","Jiangsu","Huaian","China"
104,310,"Daniel Cabral",1,2,"103602195112","543 Bergamo Avenue","Minas Gerais","Ibirit","Brazil"
105,108,"Tracy Cole",1,1,"371490777743","1002 Ahmadnagar Manor","Mxico","Huixquilucan","Mexico"
106,196,"Alma Austin",1,1,"331132568928","1074 Binzhou Manor","Baden-Wrttemberg","Mannheim","Germany"
107,317,"Edward Baugh",1,2,"46568045367","1359 Zhoushan Parkway","Streymoyar","Trshavn","Faroe Islands"
108,242,"Glenda Frazier",1,1,"890283544295","1246 Boksburg Parkway","Hebei","Qinhuangdao","China"
109,503,"Angel Barclay",1,1,"759586584889","496 Celaya Drive","Nagano","Ueda","Japan"
110,19,"Ruth Martinez",1,1,"272572357893","1417 Lancaster Avenue","Northern Cape","Kimberley","South Africa"
111,227,"Colleen Burton",1,1,"669828224459","430 Alessandria Loop","Saarland","Saarbrcken","Germany"
112,500,"Reginald Kinder",1,1,"793996678771","519 Brescia Parkway","East Java","Madiun","Indonesia"
113,93,"Phyllis Foster",1,1,"275595571388","832 Nakhon Sawan Manor","Inner Mongolia","Zalantun","China"
114,506,"Leslie Seward",1,2,"131370665218","1152 al-Qatif Lane","Kalimantan Barat","Pontianak","Indonesia"
115,455,"Jon Wiles",1,2,"205524798287","659 Gatineau Boulevard","La Paz","El Alto","Bolivia"
116,18,"Carol Garcia",1,2,"747791594069","320 Brest Avenue","Kaduna","Kaduna","Nigeria"
117,7,"Maria Miller",1,1,"716571220373","900 Santiago de Compostela Parkway","Central Serbia","Kragujevac","Yugoslavia"
118,524,"Jared Ely",1,1,"35533115997","1003 Qinhuangdao Street","West Java","Purwakarta","Indonesia"
119,51,"Alice Stewart",1,1,"171822533480","1135 Izumisano Parkway","California","Fontana","United States"
120,365,"Bruce Schwarz",1,2,"634445428822","1565 Tangail Manor","Okinawa","Okinawa","Japan"
121,405,"Leonard Schofield",1,1,"779461480495","88 Nagaon Manor","Buenos Aires","Tandil","Argentina"
122,273,"Priscilla Lowe",1,2,"45387294817","144 South Hill Loop","Guanajuato","Salamanca","Mexico"
123,43,"Christine Roberts",1,2,"539758313890","1447 Imus Way","Tahiti","Faaa","French Polynesia"
124,246,"Marian Mendoza",1,1,"741070712873","829 Grand Prairie Way","Paran","Maring","Brazil"
125,368,"Harry Arce",0,1,"320471479776","1922 Miraj Way","Esfahan","Najafabad","Iran"
126,439,"Alexander Fennell",1,2,"575081026569","231 Kaliningrad Place","Lombardia","Bergamo","Italy"
127,94,"Norma Gonzales",1,1,"835433605312","152 Kitwe Parkway","Caraga","Bislig","Philippines"
128,40,"Amanda Carter",1,2,"680768868518","671 Graz Street","Oriental","Nador","Morocco"
129,23,"Sarah Lewis",1,2,"902731229323","1780 Hino Boulevard","Liepaja","Liepaja","Latvia"
130,56,"Gloria Cook",1,1,"347487831378","1668 Saint Louis Place","Tahiti","Papeete","French Polynesia"
131,325,"Timothy Bunn",1,1,"829116184079","981 Kumbakonam Place","Distrito Federal","Braslia","Brazil"
132,479,"Zachary Hite",1,1,"191958435142","98 Pyongyang Boulevard","Ohio","Akron","United States"
133,237,"Tanya Gilbert",1,1,"792557457753","647 A Corua (La Corua) Street","Chollanam","Naju","South Korea"
134,222,"Delores Hansen",1,2,"516331171356","810 Palghat (Palakkad) Boulevard","Jaroslavl","Jaroslavl","Russian Federation"
135,304,"David Royal",1,2,"504434452842","827 Yuncheng Drive","Callao","Callao","Peru"
136,504,"Nathaniel Adam",1,1,"111177206479","786 Matsue Way","Illinois","Joliet","United States"
137,560,"Jordan Archuleta",1,1,"817740355461","1229 Varanasi (Benares) Manor","Buenos Aires","Avellaneda","Argentina"
138,586,"Kirk Stclair",1,1,"182178609211","1923 Stara Zagora Lane","Nantou","Tsaotun","Taiwan"
139,257,"Marsha Douglas",1,2,"245477603573","771 Yaound Manor","Sofala","Beira","Mozambique"
140,354,"Justin Ngo",1,2,"764680915323","519 Nyeri Manor","So Paulo","Santo Andr","Brazil"
141,89,"Julia Flores",1,1,"846225459260","1926 El Alto Avenue","Buenos Aires","La Plata","Argentina"
142,472,"Greg Robins",1,1,"206060652238","1786 Salinas Place","Nam Ha","Nam Dinh","Vietnam"
143,297,"Sherri Rhodes",1,1,"510737228015","922 Vila Velha Loop","Maharashtra","Ahmadnagar","India"
144,357,"Keith Rico",1,1,"738968474939","482 Kowloon and New Kowloon Manor","Bratislava","Bratislava","Slovakia"
145,82,"Kathryn Coleman",1,1,"821972242086","927 Baha Blanca Parkway","Krim","Simferopol","Ukraine"
146,433,"Don Bone",1,1,"342709348083","596 Huixquilucan Place","Nampula","Naala-Porto","Mozambique"
147,274,"Naomi Jennings",1,1,"959949395183","1884 Shikarpur Avenue","Haryana","Karnal","India"
148,142,"April Burns",1,1,"581174211853","483 Ljubertsy Parkway","Scotland","Dundee","United Kingdom"
149,319,"Ronald Weiner",1,2,"674805712553","1145 Vilnius Manor","Mxico","San Felipe del Progreso","Mexico"
150,429,"Frederick Isbell",1,2,"572068624538","1404 Taguig Drive","Okayama","Tsuyama","Japan"
151,14,"Betty White",1,2,"517338314235","770 Bydgoszcz Avenue","California","Citrus Heights","United States"
152,57,"Evelyn Morgan",1,2,"889318963672","943 Tokat Street","Vaduz","Vaduz","Liechtenstein"
153,348,"Roger Quintanilla",1,2,"55477302294","381 Kabul Way","Taipei","Hsichuh","Taiwan"
154,185,"Roberta Harper",1,1,"951486492670","927 Barcelona Street","Chaharmahal va Bakht","Shahr-e Kord","Iran"
155,551,"Clayton Barbee",1,2,"380077794770","1407 Pachuca de Soto Place","Rio Grande do Sul","Alvorada","Brazil"
156,462,"Warren Sherrod",1,2,"209342540247","1621 Tongliao Avenue","Irkutsk","Usolje-Sibirskoje","Russian Federation"
157,344,"Henry Billingsley",1,1,"64536069371","1516 Escobar Drive","Tongatapu","Nukualofa","Tonga"
158,354,"Justin Ngo",1,2,"764680915323","519 Nyeri Manor","So Paulo","Santo Andr","Brazil"
159,505,"Rafael Abney",1,1,"82671830126","48 Maracabo Place","Central Luzon","Talavera","Philippines"
160,290,"Kristina Chambers",1,1,"892523334","544 Tarsus Boulevard","Gurico","Valle de la Pascua","Venezuela"
161,182,"Renee Lane",1,1,"662227486184","533 al-Ayn Boulevard","California","Compton","United States"
162,296,"Ramona Hale",1,2,"429925609431","951 Stara Zagora Manor","Punjab","Patiala","India"
163,104,"Rita Graham",1,1,"449216226468","1386 Yangor Avenue","Provence-Alpes-Cte","Toulon","France"
164,151,"Megan Palmer",1,2,"189446090264","1560 Jelets Boulevard","Shandong","Laiwu","China"
165,33,"Anna Hill",1,2,"911872220378","127 Purnea (Purnia) Manor","Piemonte","Alessandria","Italy"
166,322,"Jason Morrissey",1,1,"972574862516","1427 A Corua (La Corua) Place","Buenos Aires","Baha Blanca","Argentina"
167,401,"Tony Carranza",1,2,"794553031307","454 Patiala Lane","Fukushima","Koriyama","Japan"
168,469,"Wesley Bull",1,2,"622884741180","1469 Plock Lane","Galicia","Ourense (Orense)","Spain"
169,381,"Bobby Boudreau",1,2,"934352415130","1368 Maracabo Boulevard","","South Hill","Anguilla"
170,107,"Florence Woods",1,1,"330838016880","1532 Dzerzinsk Way","Buenos Aires","Merlo","Argentina"
171,400,"Bryan Hardison",1,2,"775235029633","530 Lausanne Lane","Texas","Dallas","United States"
172,176,"June Carroll",1,1,"506134035434","757 Rustenburg Avenue","Skikda","Skikda","Algeria"
173,533,"Jessie Milam",1,1,"383353187467","1332 Gaziantep Lane","Shandong","Binzhou","China"
174,552,"Hugh Waldrop",1,2,"955349440539","904 Clarksville Drive","Zhejiang","Haining","China"
175,47,"Frances Parker",1,1,"69493378813","686 Garland Manor","Cear","Juazeiro do Norte","Brazil"
176,250,"Jo Fowler",1,2,"716256596301","786 Stara Zagora Way","Oyo & Osun","Oyo","Nigeria"
177,548,"Allan Cornish",1,1,"50898428626","947 Trshavn Place","Central Luzon","Tarlac","Philippines"
178,196,"Alma Austin",1,1,"331132568928","1074 Binzhou Manor","Baden-Wrttemberg","Mannheim","Germany"
179,19,"Ruth Martinez",1,1,"272572357893","1417 Lancaster Avenue","Northern Cape","Kimberley","South Africa"
180,75,"Tammy Sanders",1,2,"251164340471","1551 Rampur Lane","Changhwa","Changhwa","Taiwan"
181,587,"Sergio Stanfield",1,1,"387448063440","1402 Zanzibar Boulevard","Guanajuato","Celaya","Mexico"
182,237,"Tanya Gilbert",1,1,"792557457753","647 A Corua (La Corua) Street","Chollanam","Naju","South Korea"
183,254,"Maxine Silva",1,2,"840522972766","1338 Zalantun Lane","Minas Gerais","Poos de Caldas","Brazil"
184,556,"Armando Gruber",1,2,"590764256785","869 Shikarpur Way","England","Southport","United Kingdom"
185,125,"Ethel Webb",1,1,"490211944645","569 Baicheng Lane","Gauteng","Boksburg","South Africa"
186,468,"Tim Cary",1,1,"195337700615","1257 Guadalajara Street","Karnataka","Bijapur","India"
187,515,"Andre Rapp",1,1,"602101369463","568 Dhule (Dhulia) Loop","Coquimbo","Coquimbo","Chile"
188,243,"Lydia Burke",1,1,"686015532180","1483 Pathankot Street","Tucumn","San Miguel de Tucumn","Argentina"
189,247,"Stella Moreno",1,1,"266798132374","1473 Changhwa Parkway","Mxico","Coacalco de Berriozbal","Mexico"
190,533,"Jessie Milam",1,1,"383353187467","1332 Gaziantep Lane","Shandong","Binzhou","China"
191,412,"Allen Butterfield",1,2,"129953030512","791 Salinas Street","Punjab","Hoshiarpur","India"
192,437,"Randall Neumann",1,2,"331888642162","1245 Ibirit Way","La Romana","La Romana","Dominican Republic"
193,270,"Leah Curtis",1,1,"701767622697","906 Goinia Way","Wielkopolskie","Kalisz","Poland"
194,29,"Angela Hernandez",1,2,"18461860151","786 Aurora Avenue","Yamaguchi","Shimonoseki","Japan"
195,564,"Bob Pfeiffer",1,2,"203202500108","415 Pune Avenue","Shandong","Xintai","China"
196,184,"Vivian Ruiz",1,1,"302590383819","741 Ambattur Manor","Noord-Brabant","s-Hertogenbosch","Netherlands"
197,546,"Kelly Knott",1,1,"357593328658","390 Wroclaw Way","Hainan","Sanya","China"
198,54,"Teresa Rogers",1,1,"920811325222","1964 Allappuzha (Alleppey) Street","Yamaguchi","Iwakuni","Japan"
199,71,"Kathy James",1,1,"565018274456","492 Cam Ranh Street","Eastern Visayas","Baybay","Philippines"
200,321,"Kevin Schuler",1,1,"908029859266","470 Boksburg Street","Central","Birgunj","Nepal"
201,444,"Marcus Hidalgo",1,2,"237368926031","1289 Belm Boulevard","Tartumaa","Tartu","Estonia"
202,20,"Sharon Robinson",1,2,"144453869132","1688 Okara Way","Nothwest Border Prov","Mardan","Pakistan"
203,109,"Edna West",1,2,"622255216127","682 Junan Way","North West","Klerksdorp","South Africa"
204,528,"Claude Herzog",1,1,"105882218332","486 Ondo Parkway","Benguela","Benguela","Angola"
205,114,"Grace Ellis",1,2,"886636413768","442 Rae Bareli Place","Nordrhein-Westfalen","Duisburg","Germany"
206,345,"Carl Artis",1,1,"20064292617","1628 Nagareyama Lane","Central","San Lorenzo","Paraguay"
207,47,"Frances Parker",1,1,"69493378813","686 Garland Manor","Cear","Juazeiro do Norte","Brazil"
208,274,"Naomi Jennings",1,1,"959949395183","1884 Shikarpur Avenue","Haryana","Karnal","India"
209,379,"Carlos Coughlin",1,1,"924815207181","97 Mogiljov Lane","Gujarat","Bhavnagar","India"
210,391,"Clarence Gamez",1,1,"667736124769","767 Pyongyang Drive","Osaka","Izumisano","Japan"
211,170,"Beatrice Arnold",1,1,"264541743403","1877 Ezhou Lane","Rajasthan","Udaipur","India"
212,59,"Cheryl Murphy",1,1,"800024380485","1213 Ranchi Parkway","Karnataka","Mysore","India"
213,394,"Chris Brothers",1,2,"537374465982","331 Bydgoszcz Parkway","Asturia","Gijn","Spain"
214,98,"Lillian Griffin",1,1,"412903167998","669 Firozabad Loop","Abu Dhabi","al-Ayn","United Arab Emirates"
215,197,"Sue Peters",1,2,"264286442804","817 Bradford Loop","Jiangsu","Changzhou","China"
216,91,"Lois Butler",1,2,"345679835036","1370 Le Mans Avenue","Brunei and Muara","Bandar Seri Begawan","Brunei"
217,121,"Josephine Gomez",1,1,"665993880048","211 Chiayi Drive","Uttar Pradesh","Etawah","India"
218,309,"Christopher Greco",1,1,"806016930576","1224 Huejutla de Reyes Boulevard","Lombardia","Brescia","Italy"
219,489,"Ricardo Meador",1,1,"37247325001","591 Sungai Petani Drive","Okayama","Okayama","Japan"
220,542,"Lonnie Tirado",1,2,"784907335610","1658 Cuman Loop","Sumatera Selatan","Pangkal Pinang","Indonesia"
221,143,"Leslie Gordon",1,1,"923261616249","374 Bat Yam Boulevard","Kilis","Kilis","Turkey"
222,83,"Louise Jenkins",1,1,"800716535041","929 Tallahassee Loop","Gauteng","Springs","South Africa"
223,460,"Leon Bostic",1,1,"366776723320","734 Tanshui Avenue","Caquet","Florencia","Colombia"
224,318,"Brian Wyman",1,1,"556100547674","1769 Iwaki Lane","Kujawsko-Pomorskie","Bydgoszcz","Poland"
225,467,"Alvin Deloach",1,2,"769370126331","1447 Chatsworth Place","Chihuahua","Cuauhtmoc","Mexico"
226,221,"Bessie Morrison",1,1,"469738825391","1926 Gingoog Street","Sisilia","Syrakusa","Italy"
227,301,"Robert Baughman",1,2,"96110042435","1883 Maikop Lane","Kaliningrad","Kaliningrad","Russian Federation"
228,571,"Johnnie Chisholm",1,2,"770864062795","1501 Pangkal Pinang Avenue","Mazowieckie","Plock","Poland"
229,312,"Mark Rinehart",1,2,"824396883951","780 Kimberley Way","Tabuk","Tabuk","Saudi Arabia"
230,58,"Jean Bell",1,1,"212869228936","1114 Liepaja Street","Sarawak","Kuching","Malaysia"
231,365,"Bruce Schwarz",1,2,"634445428822","1565 Tangail Manor","Okinawa","Okinawa","Japan"
232,256,"Mabel Holland",1,2,"884536620568","51 Laredo Avenue","Sagaing","Monywa","Myanmar"
233,531,"Jamie Waugh",1,2,"427274926505","958 Sagamihara Lane","Mie","Kuwana","Japan"
234,566,"Casey Mena",1,1,"525518075499","539 Hami Way","Tokat","Tokat","Turkey"
235,119,"Sherry Marshall",1,1,"787654415858","1987 Coacalco de Berriozbal Loop","al-Qalyubiya","Shubra al-Khayma","Egypt"
236,446,"Theodore Culp",0,2,"39463554936","1704 Tambaram Manor","West Bengali","Uluberia","India"
237,536,"Fernando Churchill",1,2,"745267607502","193 Bhusawal Place","Kang-won","Tonghae","South Korea"
238,211,"Stacey Montgomery",1,1,"408304391718","1333 Haldia Street","Jilin","Fuyu","China"
239,49,"Joyce Edwards",1,2,"876295323994","725 Isesaki Place","Mekka","Jedda","Saudi Arabia"
240,103,"Gladys Hamilton",1,1,"484292626944","1177 Jelets Way","Kwara & Kogi","Ilorin","Nigeria"
241,245,"Courtney Day",1,1,"890289150158","300 Junan Street","Kyonggi","Uijongbu","South Korea"
242,214,"Kristin Johnston",1,1,"785881412500","226 Brest Manor","California","Sunnyvale","United States"
243,543,"Lance Pemberton",1,1,"786270036240","454 Qinhuangdao Drive","Tadla-Azilal","Beni-Mellal","Morocco"
244,257,"Marsha Douglas",1,2,"245477603573","771 Yaound Manor","Sofala","Beira","Mozambique"
245,158,"Veronica Stone",1,1,"170117068815","369 Papeete Way","North Carolina","Greensboro","United States"
246,240,"Marlene Welch",1,1,"137773001988","1148 Saarbrcken Parkway","Fukushima","Iwaki","Japan"
247,102,"Crystal Ford",1,1,"709935135487","659 Vaduz Drive","Ha Darom","Ashdod","Israel"
248,545,"Julio Noland",1,2,"426346224043","182 Nukualofa Drive","Sumy","Konotop","Ukraine"
249,472,"Greg Robins",1,1,"206060652238","1786 Salinas Place","Nam Ha","Nam Dinh","Vietnam"
250,539,"Mathew Bolin",1,1,"754579047924","163 Augusta-Richmond County Loop","Carabobo","Valencia","Venezuela"
251,204,"Rosemary Schmidt",1,1,"646237101779","1215 Pyongyang Parkway","Usak","Usak","Turkey"
252,187,"Brittany Riley",1,2,"855863906434","140 Chiayi Parkway","Sumy","Sumy","Ukraine"
253,416,"Jeffery Pinson",1,2,"15273765306","966 Arecibo Loop","Sind","Dadu","Pakistan"
254,390,"Shawn Heaton",1,1,"175283210378","1337 Mit Ghamr Avenue","Nakhon Sawan","Nakhon Sawan","Thailand"
255,114,"Grace Ellis",1,2,"886636413768","442 Rae Bareli Place","Nordrhein-Westfalen","Duisburg","Germany"
256,436,"Troy Quigley",1,1,"145720452260","983 Santa F Way","British Colombia","Vancouver","Canada"
257,373,"Louis Leone",1,1,"45554316010","1191 Tandil Drive","Southern Tagalog","Tanauan","Philippines"
